% Radial position (m)          Chord (m)            Twist Angle (rad)
%  0.750000000000000       0.461005669357287       0.603128022475027     
%  0.973684210526316        1.10694634450198       0.519200071706830     
   1.19736842105263        1.28011640779079       0.450254070637393     
   1.42105263157895        1.27627291881167       0.393733500545498     
   1.64473684210526        1.20853406845434       0.347180214300374     
   1.86842105263158        1.12696560700752       0.308522679220889     
   2.09210526315789        1.04726684053824       0.276112685689336     
   2.31578947368421       0.974449324245912       0.248670347613696     
   2.53947368421053       0.908507339321991       0.225209433014669     
   2.76315789473684       0.848727436042162       0.204969246799258     
   2.98684210526316       0.794147452675663       0.187359788321676     
   3.21052631578947       0.743645760292715       0.171919829643145     
   3.43421052631579       0.695927152374598       0.158285569398220     
   3.65789473684211       0.649430432945836       0.146167371190747     
   3.88157894736842       0.602151358783736       0.135332500267897     
   4.10526315789474       0.551335468607245       0.125592257164472     
   4.32894736842105       0.492897988877788       0.116792325411187     
   4.55263157894737       0.420056356668070       0.108805473996993     
   4.77631578947368       0.318583436539584       0.101525993947103     
   5.00000000000000       0.124898833048970       9.486542064269135E-002
